Degree,Closness Centrality,harmonic_closness_centrality,Betweeness Centrality,Authority(Hub),Eigen Centrality
67,0.868,0.924,0.846,0.598,1.000
15,0.530,0.582,0.028,0.222,0.363
15,0.552,0.595,0.099,0.191,0.321
17,0.560,0.608,0.138,0.176,0.307
10,0.506,0.546,0.008,0.147,0.246
9,0.520,0.551,0.026,0.142,0.238
7,0.488,0.521,0.001,0.140,0.226
7,0.523,0.544,0.004,0.133,0.224
6,0.485,0.515,0.000,0.133,0.215
6,0.485,0.515,0.000,0.133,0.215
6,0.485,0.515,0.000,0.133,0.215
6,0.485,0.515,0.000,0.133,0.215
5,0.516,0.532,0.000,0.119,0.201
6,0.506,0.530,0.003,0.118,0.199
5,0.488,0.513,0.001,0.111,0.184
5,0.491,0.515,0.001,0.110,0.183
5,0.482,0.508,0.000,0.108,0.178
5,0.482,0.508,0.000,0.108,0.178
4,0.485,0.506,0.000,0.105,0.173
5,0.479,0.506,0.000,0.102,0.169
3,0.500,0.513,0.001,0.098,0.163
3,0.510,0.519,0.000,0.095,0.160
5,0.479,0.506,0.000,0.095,0.159
3,0.482,0.500,0.000,0.094,0.156
6,0.506,0.530,0.036,0.087,0.154
4,0.476,0.500,0.000,0.092,0.153
4,0.476,0.500,0.000,0.092,0.153
4,0.476,0.500,0.000,0.089,0.147
4,0.476,0.500,0.000,0.089,0.147
3,0.485,0.502,0.000,0.086,0.143
3,0.485,0.502,0.000,0.086,0.143
4,0.476,0.500,0.000,0.084,0.141
4,0.476,0.500,0.000,0.084,0.141
4,0.476,0.500,0.000,0.084,0.141
3,0.473,0.494,0.000,0.084,0.139
3,0.473,0.494,0.000,0.083,0.139
3,0.473,0.494,0.000,0.081,0.135
3,0.473,0.494,0.000,0.081,0.135
2,0.482,0.496,0.000,0.077,0.129
2,0.470,0.487,0.000,0.073,0.122
2,0.476,0.492,0.000,0.073,0.121
3,0.473,0.494,0.000,0.071,0.120
2,0.470,0.487,0.000,0.072,0.119
2,0.470,0.487,0.000,0.072,0.119
2,0.470,0.487,0.000,0.070,0.115
2,0.470,0.487,0.000,0.066,0.110
2,0.470,0.487,0.000,0.066,0.110
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
2,0.470,0.487,0.000,0.065,0.108
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
1,0.467,0.481,0.000,0.059,0.098
2,0.380,0.403,0.000,0.040,0.066
3,0.373,0.399,0.000,0.035,0.061
3,0.373,0.399,0.000,0.035,0.061
4,0.366,0.395,0.000,0.031,0.059
3,0.364,0.388,0.000,0.029,0.054
3,0.364,0.388,0.000,0.029,0.054
2,0.362,0.382,0.000,0.026,0.047
1,0.357,0.371,0.000,0.019,0.031
1,0.357,0.371,0.000,0.019,0.031
1,0.357,0.371,0.000,0.019,0.031
1,0.361,0.376,0.000,0.017,0.031
1,0.361,0.376,0.000,0.017,0.031